Latitude,Longitude,SiteName,Time,NowCast Concentration,NowCast AQI
47.197566,-120.958228,Cle Elum_Mobile,Tue 01/01/2019 11:00 PM EST,4.3,18
36.135879,-118.810980,Unit1027,Tue 01/01/2019 11:00 PM EST,29.0,87
47.197566,-120.958228,N/A,Tue 01/01/2019 11:00 PM EST,4.3,18
