06/17/19|01:00|000050404|Parc Cambron|-5|OZONE|PPB|26|Meteorological Service of Canada
06/17/19|01:00|000050604|Parc Tremblay|-5|OZONE|PPB|29|Meteorological Service of Canada
06/17/19|01:00|000051501|Zéphirin|-5|OZONE|PPB|10|Meteorological Service of Canada
06/17/19|01:00|000051501|Zéphirin|-5|PM2.5|UG/M3|3|Meteorological Service of Canada
06/17/19|01:00|000052001|Charette|-5|OZONE|PPB|15|Meteorological Service of Canada
06/17/19|01:00|000052201|Brossard|-5|OZONE|PPB|17|Meteorological Service of Canada
06/17/19|01:00|000052301|Saint-Faustin|-5|OZONE|PPB|21|Meteorological Service of Canada
06/17/19|01:00|000052301|Saint-Faustin|-5|PM2.5|UG/M3|5|Meteorological Service of Canada
06/17/19|01:00|000053301|Deschambault|-5|OZONE|PPB|10|Meteorological Service of Canada
06/17/19|01:00|000053501|François|-5|OZONE|PPB|21|Meteorological Service of Canada
06/17/19|01:00|000053601|N.-D.-du-Rosaire|-5|OZONE|PPB|9|Meteorological Service of Canada
06/17/19|01:00|000053701|HILAIRE|-5|OZONE|PPB|25|Meteorological Service of Canada
06/17/19|01:00|000053901|Édouard|-5|OZONE|PPB|14|Meteorological Service of Canada
06/17/19|01:00|000054201|Chapais|-5|OZONE|PPB|18|Canadian Air and Precipitation Monitoring Network
06/17/19|01:00|000054703|Bécancour (Aréna)|-5|PM2.5|UG/M3|1|Meteorological Service of Canada
06/17/19|01:00|000054901|Ditton|-5|OZONE|PPB|20|Meteorological Service of Canada
06/17/19|01:00|000055001|Mont-Saint-Michel|-5|OZONE|PPB|11|Meteorological Service of Canada
06/17/19|01:00|000055501|Frelighsburg|-5|OZONE|PPB|36|Canadian Air and Precipitation Monitoring Network
06/17/19|01:00|000060104|Ottawa|-5|OZONE|PPB|14|Ontario Ministry of the Environment
06/17/19|01:00|000060104|Ottawa|-5|PM2.5|UG/M3|4|Ontario Ministry of the Environment
06/17/19|01:00|000060204|Windsor Downtown|-5|OZONE|PPB|16|Ontario Ministry of the Environment
06/17/19|01:00|000060204|Windsor Downtown|-5|PM2.5|UG/M3|6|Ontario Ministry of the Environment
06/17/19|01:00|000060304|Kingston|-5|OZONE|PPB|18|Ontario Ministry of the Environment
06/17/19|01:00|000060304|Kingston|-5|PM2.5|UG/M3|3|Ontario Ministry of the Environment
06/17/19|01:00|000060424|Toronto Downtown|-5|OZONE|PPB|22|Ontario Ministry of the Environment
06/17/19|01:00|000060424|Toronto Downtown|-5|PM2.5|UG/M3|11|Ontario Ministry of the Environment
06/17/19|01:00|000060512|Hamilton Downtown|-5|OZONE|PPB|23|Ontario Ministry of the Environment
06/17/19|01:00|000060512|Hamilton Downtown|-5|PM2.5|UG/M3|9|Ontario Ministry of the Environment
06/17/19|01:00|000060610|Sudbury|-5|OZONE|PPB|24|Ontario Ministry of the Environment
06/17/19|01:00|000060610|Sudbury|-5|PM2.5|UG/M3|6|Ontario Ministry of the Environment
06/17/19|01:00|000060709|Sault Ste Marie|-5|OZONE|PPB|26|Ontario Ministry of the Environment
06/17/19|01:00|000060709|Sault Ste Marie|-5|PM2.5|UG/M3|4|Ontario Ministry of the Environment
06/17/19|01:00|000060904|London|-5|OZONE|PPB|17|Ontario Ministry of the Environment
06/17/19|01:00|000060904|London|-5|PM2.5|UG/M3|2|Ontario Ministry of the Environment
06/17/19|01:00|000061009|Sarnia|-5|OZONE|PPB|16|Ontario Ministry of the Environment
06/17/19|01:00|000061009|Sarnia|-5|PM2.5|UG/M3|2|Ontario Ministry of the Environment
06/17/19|01:00|000061104|Peterborough|-5|OZONE|PPB|19|Ontario Ministry of the Environment
06/17/19|01:00|000061104|Peterborough|-5|PM2.5|UG/M3|3|Ontario Ministry of the Environment
06/17/19|01:00|000061201|Cornwall|-5|OZONE|PPB|16|Ontario Ministry of the Environment
06/17/19|01:00|000061201|Cornwall|-5|PM2.5|UG/M3|12|Ontario Ministry of the Environment
06/17/19|01:00|000061302|St. Catharines|-5|OZONE|PPB|14|Ontario Ministry of the Environment
